Schools,Department,Link,Race,Gender,Name,Title,Website,Photo.Link,Research.Area
Georgetown University,physics,https://physics.georgetown.edu/,Black,Woman,Rhonda Dzakpasu,Associate Professor,https://physics.georgetown.edu/rhonda-dzakpasu/,https://academicphotos.s3.amazonaws.com/physics/Georgetown_University/Rhonda_Dzakpasu.jpg,experimental and computational techniques in neural networks
Georgia Institute of Technology,physics,https://www.physics.gatech.edu/,Hispanic,Woman,Ignacio Taboada,Professor,https://www.physics.gatech.edu/user/ignacio-taboada,https://academicphotos.s3.amazonaws.com/physics/Georgia_Institute_of_Technology/Ignacio_Taboada.jpg,neutrino astrophysics with icecube.
Georgia Institute of Technology,physics,https://www.physics.gatech.edu/,Hispanic,Woman,Carlos Silva,Professor,https://www.physics.gatech.edu/user/carlos-silva,https://academicphotos.s3.amazonaws.com/physics/Georgia_Institute_of_Technology/Carlos_Silva.jpg,how excited states are created and how they evolve in complex materials of interest in optoelectronics
"Graduate Center, CUNY",physics,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Physics,Black,Man,Eugene Mananga,Associate Professor,https://www.gc.cuny.edu/people/eugene-mananga,"https://academicphotos.s3.amazonaws.com/physics/Graduate_Center,_CUNY/EUGENE_MANANGA.jpg","condensed matter physics, materials science, computational chemistry, and nuclear medicine"
"Graduate Center, CUNY",physics,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Physics,Hispanic,Woman,Jillian M. Bellovary,Assistant Professor,https://www.gc.cuny.edu/people/jillian-m-bellovary,"https://academicphotos.s3.amazonaws.com/physics/Graduate_Center,_CUNY/JILLIAN_M._BELLOVARY.jpg","astrophysics, black holes, gravitational waves, simulations, active galactic nuclei, dwarf galaxies"
"Graduate Center, CUNY",physics,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Physics,Hispanic,Man,Justin F. Vazquez-Poritz,Associate Professor,https://www.gc.cuny.edu/people/justin-f-vazquez-poritz,"https://academicphotos.s3.amazonaws.com/physics/Graduate_Center,_CUNY/JUSTIN_F._VAZQUEZ-PORITZ.jpeg","m-theory, string theory, quantum field theory, general relativity, gravitational physics"
"Graduate Center, CUNY",physics,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Physics,Hispanic,Woman,Kelle L. Cruz,Associate Professor,https://www.gc.cuny.edu/people/kelle-l-cruz,"https://academicphotos.s3.amazonaws.com/physics/Graduate_Center,_CUNY/KELLE_L._CRUZ.jpg","low mass stars and brown dwarfs, optical and near-infrared spectroscopy, cool atmospheres, stellar content of the solar neighborhood"
"Graduate Center, CUNY",physics,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Physics,Hispanic,Man,Miguel Fiolhais,Associate Professor,https://www.gc.cuny.edu/people/miguel-fiolhais,"https://academicphotos.s3.amazonaws.com/physics/Graduate_Center,_CUNY/MIGUEL_FIOLHAIS.jpg","high-energy physics, particle accelerators and detractors, cosmology, superconductivity education"
"Graduate Center, CUNY",physics,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Physics,Black,Woman,Sophia N. Suarez,Professor,https://www.gc.cuny.edu/people/sophia-n-suarez,"https://academicphotos.s3.amazonaws.com/physics/Graduate_Center,_CUNY/SOPHIA_N._SUAREZ.jpg",high-pressure nuclear magnetic resonance (nmr) and ac impedance spectroscopies (is) to study the ion and mass transport properties of electrolyte materials used in electrochemical devices such as fuel cells and supercapacitors
Harvard University,physics,https://www.physics.harvard.edu/,Hispanic,Woman,Carlos Arguelles-Delgado,Assistant Professor,https://www.physics.harvard.edu/people/facpages/carlos-arg%C3%BCelles,https://academicphotos.s3.amazonaws.com/physics/Harvard_University/Carlos_Arg%C3%BCelles-Delgado.jpg,"neutrino physics, particularly using data from the icecube neutrino observatory to explore the properties of neutrinos and search for new physics beyond the standard model​"
Harvard University,physics,https://www.physics.harvard.edu/,Hispanic,Woman,Cora Dvorkin,Professor,https://dvorkin.physics.harvard.edu/,https://academicphotos.s3.amazonaws.com/physics/Harvard_University/CORA_DVORKIN.jpeg,"cosmology, dark matter, and the early universe"
Indiana University Bloomington,physics,https://physics.indiana.edu/,Hispanic,Man,Jorge V. Jose,James H. Rudy Distinguished Professor,https://medicine.iu.edu/faculty/25528/jose-jorge?_gl=1*1ptkqyp*_ga*MTUzNDcxOTAyNi4xNzE1MTQxNzE5*_ga_61CH0D2DQW*MTcxNTU0NDU1MS4yLjEuMTcxNTU0NDczMC4xLjAuMA..,https://academicphotos.s3.amazonaws.com/physics/Indiana_University_Bloomington/jorge+jose.jpg,"computational neuroscience, neuronal networks modeling, animal behaviors, motion studies of humans affected by neurodevelopmental disorders (ndd)"
Iowa State University,physics,https://www.physics.iastate.edu/,Hispanic,Woman,Raquel Ribeiro,Associate Professor,https://www.physastro.iastate.edu/people/raquel-ribeiro,https://academicphotos.s3.amazonaws.com/physics/Iowa_State_University/Raquel_Ribeiro.jpg,condensed matter
Johns Hopkins University,physics,https://physics-astronomy.jhu.edu/,Black,Woman,Danielle Speller,Assistant Professor,https://physics-astronomy.jhu.edu/directory/danielle-speller/,https://academicphotos.s3.amazonaws.com/physics/Johns_Hopkins_University/Danielle_Speller.jpg,experimental particle physics
Johns Hopkins University,physics,https://physics-astronomy.jhu.edu/,Hispanic,Woman,Francesca Serra,Assistant Professor,https://physics-astronomy.jhu.edu/directory/francesca-serra/,https://academicphotos.s3.amazonaws.com/physics/Johns_Hopkins_University/Francesca_Serra.jpg,soft matter physics and liquid crystals
Johns Hopkins University,physics,https://physics-astronomy.jhu.edu/,Black,Man,Ibrahima Bah,Associate Professor,https://physics-astronomy.jhu.edu/directory/ibrahima-bah/,https://academicphotos.s3.amazonaws.com/physics/Johns_Hopkins_University/Ibrahima_Bah.jpg,"theoretical high-energy physics and cosmology, string theory, supergravity, quantum field theory, and holography"
Louisiana State University,physics,https://www.lsu.edu/physics/,Hispanic,Woman,Gabriela Gonzalez,Professor,https://www.lsu.edu/physics/people/faculty/gonzalez.php,https://academicphotos.s3.amazonaws.com/physics/Louisiana_State_University/gabriel-gonzalez.jpg,experimental general relativity
Massachusetts Institute of Technology,physics,https://web.mit.edu/physics/,Hispanic,Man,Pablo Jarillo-Herrero,Professor,https://physics.mit.edu/faculty/pablo-jarillo-herrero/,https://academicphotos.s3.amazonaws.com/physics/Massachusetts_Institute_of_Technology/Pablo+Jarillo-Herrero.jpeg,condensed matter experiment
Massachusetts Institute of Technology,physics,https://web.mit.edu/physics/,Hispanic,Man,Ronald Fernando Garcia Ruiz,Assistant Professor,https://physics.mit.edu/faculty/ronald-garcia-ruiz/,https://academicphotos.s3.amazonaws.com/physics/Massachusetts_Institute_of_Technology/Ronald_Fernando_Garcia_Ruiz.jpg,nuclear physics experiment
Michigan State University,physics,https://www.pa.msu.edu/,Hispanic,Woman,Filomena Nunes,Professor,https://pa.msu.edu/directory/directory_profile.aspx?personId=102135,https://academicphotos.s3.amazonaws.com/physics/Michigan_State_University/filomena+nunes.jpeg,nuclear reactions and structure models
New Jersey Institute of Technology,physics,https://physics.njit.edu/,Hispanic,Man,John Federici,Professor,https://people.njit.edu/profile/federici,https://academicphotos.s3.amazonaws.com/physics/New_Jersey_Institute_of_Technology/John_Federici.jpg,"terahertz spectroscopy, imaging, and wireless communication. remote sensing ink-jet printed devices"
New Jersey Institute of Technology,physics,https://physics.njit.edu/,Black,Man,Trevor Tyson,Professor,https://people.njit.edu/profile/tyson,https://academicphotos.s3.amazonaws.com/physics/New_Jersey_Institute_of_Technology/Trevor_Tyson.jpg,"understanding the fundamental physics of correlated electron magnetic and superconducting materials by developing and utilizing both experimental and theoretical approaches including synchrotron based ir, uv and x-ray methods"
New York University,physics,https://physics.as.nyu.edu/,Black,Man,Anthony Pullen,Associate Professor,https://as.nyu.edu/faculty/anthony-pullen.html,https://academicphotos.s3.amazonaws.com/physics/New_York_University/ANTHONY_PULLEN.jpeg,"theoretical cosmology, large-scale structure surveys"
North Carolina State University,physics,https://www.physics.ncsu.edu/,Black,Woman,Sharonda Leblanc,Assistant Professor,https://physics.sciences.ncsu.edu/people/sharonda-leblanc-phd/,https://academicphotos.s3.amazonaws.com/physics/North_Carolina_State_University/Sharonda_LeBlanc.jpg,understanding the molecular details of essential pathways
Northeastern University,physics,https://cos.northeastern.edu/physics/,Hispanic,Man,Alberto De La Torre,Assistant Professor,https://cos.northeastern.edu/people/alberto-de-la-torre/,https://academicphotos.s3.amazonaws.com/physics/Northeastern_University/Alberto_De_la_Torre.jpg,understanding complex emergent phenomena in quantum materials and achieving new long-lived quantum states by interacting with matter at ultrafast timescales
Northeastern University,physics,https://cos.northeastern.edu/physics/,Hispanic,Man,Johan Bonilla Castro,Assistant Professor,https://cos.northeastern.edu/people/johan-bonilla-castro/,https://academicphotos.s3.amazonaws.com/physics/Northeastern_University/Johan_Bonilla_Castro.jpg,study of jets: cone-shaped showers of particles that help us see the quarks and gluons created during collisions.
Northeastern University,physics,https://cos.northeastern.edu/physics/,Hispanic,Man,Mauricio Santillana,Professor,https://cos.northeastern.edu/people/mauricio-santillana/,https://academicphotos.s3.amazonaws.com/physics/Northeastern_University/Mauricio_Santillana.jpg,"modeling of geographic patterns of population growth, modeling fluid flow to inform coastal floods simulations"
Northwestern University,physics,https://www.physics.northwestern.edu/,Hispanic,Man,Enectali Figueroa-Feliciano,Professor,https://physics.northwestern.edu/people/faculty/core-faculty/enectali-figueroa-feliciano.html,https://academicphotos.s3.amazonaws.com/physics/Northwestern_University/Enectali_Figueroa-Feliciano.jpg,"experimental astroparticle physics, dark matter"
Northwestern University,physics,https://www.physics.northwestern.edu/,Hispanic,Man,John Joseph Carrasco,Associate Professor,https://physics.northwestern.edu/people/faculty/core-faculty/john-carrasco.html,https://academicphotos.s3.amazonaws.com/physics/Northwestern_University/John_Joseph_Carrasco.jpg,"quantum gravity, scattering amplitudes"
Northwestern University,physics,https://www.physics.northwestern.edu/,Hispanic,Woman,Mayda Velasco,Professor,https://physics.northwestern.edu/people/faculty/core-faculty/mayda-velasco.html,https://academicphotos.s3.amazonaws.com/physics/Northwestern_University/Mayda_Velasco.jpg,precision and high sensitivity measurements in particle physics ranging from ultra-rare neutral and charged kaon decays to possible precision measurements of the cp nature of the higgs boson at a future photon collider
Ohio State University,physics,https://www.physics.osu.edu/,Hispanic,Man,Rolando Valdes Aguilar,Professor,https://physics.osu.edu/people/valdesaguilar.1,https://academicphotos.s3.amazonaws.com/physics/Ohio_State_University/Rolando_ValdesAguilar.jpeg,"condensed matter physics, terahertz spectroscopy"
Ohio State University,physics,https://www.physics.osu.edu/,Black,Woman,Geraldine Cochran,Associate Professor,https://physics.osu.edu/people/cochran.604,https://academicphotos.s3.amazonaws.com/physics/Ohio_State_University/Geraldine_Cochran.jpg,"physics education, teacher preparation"
Ohio University,physics,https://www.ohio.edu/cas/physastro,Hispanic,Man,Sergio E. Ulloa,Professor,https://www.ohio.edu/cas/ulloa,https://academicphotos.s3.amazonaws.com/physics/Ohio_University/Sergio+E.+Ulloa+.jpeg,theoretical condensed matter physics
Oklahoma State University-Stillwater,physics,https://physics.okstate.edu/,Hispanic,Man,Mario Borunda,Associate Professor,https://experts.okstate.edu/mario.borunda,https://academicphotos.s3.amazonaws.com/physics/Oklahoma_State_University_Stillwater/mario-borunda.jpg,"condensed matter physics, quantum information science"
Pennsylvania State University,physics,https://www.phys.psu.edu/,Hispanic,Woman,Carmen Carmona Benitez,Assistant Professor,https://science.psu.edu/physics/people/carmen-carmona-benitez,https://academicphotos.s3.amazonaws.com/physics/Pennsylvania_State_University/Carmen_Carmona_Benitez.jpg,"particle astrophysics, experiment, particle physics"
Pennsylvania State University,physics,https://www.phys.psu.edu/,Black,Man,Ismaila Dabo,Associate Professor,https://science.psu.edu/user/22025,https://academicphotos.s3.amazonaws.com/physics/Pennsylvania_State_University/Ismaila_Dabo.jpg,"energy conversion and storage, computational materials science"
Rensselaer Polytechnic Institute,physics,https://science.rpi.edu/physics,Black,Man,Moussa Ngom,Assistant Professor,https://faculty.rpi.edu/moussa-ngom,https://academicphotos.s3.amazonaws.com/physics/Rensselaer_Polytechnic_Institute/Moussa_Ngom.jpg,"ultrafast lasers, optical communications"
Rensselaer Polytechnic Institute,physics,https://science.rpi.edu/physics,Black,Man,Trevor Rhone,Assistant Professor,https://faculty.rpi.edu/trevor-rhone,https://academicphotos.s3.amazonaws.com/physics/Rensselaer_Polytechnic_Institute/Trevor_Rhone.jpg,machine learning tools for materials discovery and knowledge discovery
Stanford University,physics,https://physics.stanford.edu/,Black,Woman,Monika Schleier-Smith,Associate Professor,https://profiles.stanford.edu/monika-schleier-smith,https://academicphotos.s3.amazonaws.com/physics/Stanford_University/Monika_Schleier-Smith.jpg,"atomic physics, quantum optics"
Stony Brook University,physics,https://www.stonybrook.edu/physics/,Hispanic,Man,Jesus Perezrios,Assistant Professor,https://www.stonybrook.edu/commcms/physics/people/_profiles/perezriosj,https://academicphotos.s3.amazonaws.com/physics/Stony_Brook_University/Jesus_Perez-Rios.jpg,atomicmolecular and optical physics
Stony Brook University,physics,https://www.stonybrook.edu/physics/,Hispanic,Woman,Maria Gonzalez-Garcia,Professor,https://www.stonybrook.edu/commcms/physics/people/_profiles/gonzalez-garciam,https://academicphotos.s3.amazonaws.com/physics/Stony_Brook_University/Maria_Gonzalez-Garcia.jpg,particle physics
University at Buffalo,physics,https://arts-sciences.buffalo.edu/physics.html,Black,Man,Herbert Fotso,Associate Professor,https://arts-sciences.buffalo.edu/physics/faculty/faculty-directory.host.html/content/shared/arts-sciences/physics/faculty-profiles-directories/new-profiles/fotso-herbert.html,https://academicphotos.s3.amazonaws.com/physics/University_at_Buffalo/Herbert_Fotso.jpg,theoretical/computational condensed matter physics
University of Alabama,physics,https://physics.ua.edu/,Hispanic,Man,Paulo Araujo,Associate Professor,https://physics.ua.edu/people/paulo-araujo/,https://academicphotos.s3.amazonaws.com/physics/University_of_Alabama/Paulo_Araujo.jpg,"raman spectroscopy, photoluminescence spectroscopy"
University of Alabama at Birmingham,physics,https://www.uab.edu/cas/physics/,Black,Man,Clayton E. Simien,Associate Professor,https://www.uab.edu/cas/physics/people/faculty/clayton-e-simien,https://academicphotos.s3.amazonaws.com/physics/University_of_Alabama_at_Birmingham/Clayton_E._Simien.jpg,"atomic, molecular, and optical physics"
University of Alabama in Huntsville,physics,https://www.uah.edu/science/departments/physics,Hispanic,Man,Massimillano Bonamente,Professor,https://www.uah.edu/science/departments/physics/faculty-staff/dr-max-bonamente,https://academicphotos.s3.amazonaws.com/physics/University_of_Alabama_in_Huntsville/MASSIMILLANO_BONAMENTE.jpeg,"astrophysics, cosmology"
University of Arizona,physics,https://www.physics.arizona.edu/,Hispanic,Man,Eduardo Rozo,Associate Professor,https://w3.physics.arizona.edu/people/eduardo-rozo,https://academicphotos.s3.amazonaws.com/physics/University_of_Arizona/Eduardo_Rozo.jpg,astrophysics and cosmology
University of Arkansas,physics,https://fulbright.uark.edu/departments/physics/,Hispanic,Man,Salvador Barraza-Lopez,Associate Professor,https://physics.uark.edu/directory/index/uid/sbarraza/name/Salvador+Barraza-Lopez/,https://academicphotos.s3.amazonaws.com/physics/University_of_Arkansas/Salvador_Barraza-Lopez.jpg,theory of 2d materials
"University of California, Berkeley",physics,https://physics.berkeley.edu/,Hispanic,Man,Raul Briceno,Assistant Professor,https://physics.berkeley.edu/people/ra%C3%BAl-brice%C3%B1o,https://academicphotos.s3.amazonaws.com/physics/University_of_California%2C_Berkeley/raul_briceno_bio.jpg,emergence of low-energy nuclear physics
"University of California, Berkeley",physics,https://physics.berkeley.edu/,Hispanic,Man,Carlos Bustamante,Professor,https://physics.berkeley.edu/people/faculty/carlos-bustamante,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_Berkeley/Carlos_Bustamante.jpg",mechanochemistry
"University of California, Berkeley",physics,https://physics.berkeley.edu/,Hispanic,Man,Hernan Garcia,Associate Professor,https://physics.berkeley.edu/people/faculty/hernan-garcia,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_Berkeley/Hernan_Garcia.jpg","physical biology, biophysics"
"University of California, Davis",physics,https://physics.ucdavis.edu/,Hispanic,Man,Manuel Calderon De La Barca Sanchez,Professor,https://physics.ucdavis.edu/directory/faculty/manuel-calderon-de-la-barca-sanchez,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_Davis/Manuel_Calderon_de_la_Barca_Sanchez.jpg",nuclear
"University of California, Irvine",physics,https://www.physics.uci.edu/,Black,Woman,Aomawa Shields,Associate Professor,https://www.physics.uci.edu/people/aomawa-shields,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_Irvine/Aomawa_Shields.jpg",astrophysics
"University of California, Irvine",physics,https://www.physics.uci.edu/,Hispanic,Woman,Juan Pedro Ochoa-Ricoux,Professor,https://www.physics.uci.edu/people/Juan-Pedro-Ochoa-Ricoux,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_Irvine/Juan_Pedro_Ochoa-Ricoux.jpg",particle physics
"University of California, Riverside",physics,https://physics.ucr.edu/,Hispanic,Man,Miguel Arratia,Assistant Professor,https://profiles.ucr.edu/miguel.arratia,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_Riverside/Miguel_Arratia.jpg",experimental nuclear physics
"University of California, San Diego",physics,https://physics.ucsd.edu/,Hispanic,Man,Julio Barreiro Guerrero,Assistant Professor,https://physics.ucsd.edu/people/profile?id=jubarreiro,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_San_Diego/Julio_Barreiro_Guerrero.jpeg",quantum science with ultracold strontium
"University of California, Santa Barbara",physics,https://www.physics.ucsb.edu/,Black,Man,Clifford Johnson,Professor,https://www.physics.ucsb.edu/people/clifford-johnson,"https://academicphotos.s3.amazonaws.com/physics/University_of_California,_Santa_Barbara/Clifford_Johnson.jpg","quantum gravity, superstring theory"
University of Colorado Boulder,physics,https://www.colorado.edu/physics/,Black,Woman,Joseph Berry,Associate Professor,https://www.colorado.edu/physics/joseph-berry,https://academicphotos.s3.amazonaws.com/physics/University_of_Colorado_Boulder/Joseph_Berry.jpg,"physics, perovskites"
University of Colorado Boulder,physics,https://www.colorado.edu/physics/,Hispanic,Woman,Nuris Figueroa Morales,Assistant Professor,https://www.colorado.edu/physics/nuris-figueroa-morales,https://academicphotos.s3.amazonaws.com/physics/University_of_Colorado_Boulder/Nuris_Figueroa_Morales.jpg,complex interactions between microorganisms and their environment
University of Connecticut,physics,https://physics.uconn.edu/,Hispanic,Woman,Lea Ferreira Dos Santos,Professor,https://physics.uconn.edu/person/lea-ferreira-dos-santos/,https://academicphotos.s3.amazonaws.com/physics/University_of_Connecticut/Lea_Ferreira_dos_Santos.jpg,"many-body quantum systems, non-equilibrium quantum dynamics"
University of Delaware,physics,https://www.physics.udel.edu/,Black,Man,Adebanjo Oriade,Assistant Professor,https://www.physics.udel.edu/people/adebanjo,https://academicphotos.s3.amazonaws.com/physics/University_of_Delaware/ADEBANJO_ORIADE.jpeg,physics education research. collaborative learning in physical sciences
University of Delaware,physics,https://www.physics.udel.edu/,Black,Man,Mark Akubo,Assistant Professor,https://www.physics.udel.edu/people/marka,https://academicphotos.s3.amazonaws.com/physics/University_of_Delaware/Mark_Akubo.jpg,science education/physics education
University of Houston,physics,https://uh.edu/nsm/physics/,Black,Man,Byron Freelon,Assistant Professor,https://uh.edu/nsm/physics/people/profiles/byron-freelon/,https://academicphotos.s3.amazonaws.com/physics/University_of_Houston/Byron_Freelon.jpg,strongly correlated electrons systems (sces) and low-dimensional materials
University of Houston,physics,https://uh.edu/nsm/physics/,Black,Woman,Donna Stokes,Professor,https://uh.edu/nsm/physics/people/profiles/donna-stokes/,https://academicphotos.s3.amazonaws.com/physics/University_of_Houston/Donna_Stokes.jpg,understanding the structural and optical properties of semiconductor materials for the development of novel detectors and lasers for infrared applications
University of Illinois Urbana-Champaign,physics,https://physics.illinois.edu/,Black,Woman,Nadya Mason,Professor,https://physics.illinois.edu/people/directory/profile/nadya,https://academicphotos.s3.amazonaws.com/physics/University_of_Illinois_Urbana-Champaign/Nadya_Mason.jpg,"how electrons behave in low-dimensional, correlated materials, where enhanced interactions are expected to give novel results."
University of Illinois Urbana-Champaign,physics,https://physics.illinois.edu/,Black,Man,Philip W. Phillips,Professor,https://physics.illinois.edu/people/directory/profile/dimer,https://academicphotos.s3.amazonaws.com/physics/University_of_Illinois_Urbana-Champaign/Philip_W._Phillips.jpg,understanding the physics of strong coupling
University of Iowa,physics,https://physics.uiowa.edu/,Hispanic,Man,Denis R. Candido,Assistant Professor,https://physics.uiowa.edu/people/denis-r-candido,https://academicphotos.s3.amazonaws.com/physics/University_of_Iowa/Denis_R._Candido.jpg,"condensed matter and materials physics, quantum information"
"University of Maryland, College Park",physics,https://umdphysics.umd.edu/,Black,Man,Sylvester Gates,Distinguished Professor,https://umdphysics.umd.edu/people/faculty/current/item/167-gatess.html,"https://academicphotos.s3.amazonaws.com/physics/University_of_Maryland,_College_Park/Sylvester_Gates.jpg",supersymmetry and supergravity
University of Memphis,physics,https://www.memphis.edu/physics/,Hispanic,Man,Francisco Muller Sanchez,Assistant Professor,https://www.memphis.edu/physics/faculty-sanchez/index.php,https://academicphotos.s3.amazonaws.com/physics/University_of_Memphis/Francisco_Muller_Sanchez.jpg,observational astronomer with a broad interest in extragalactic astronomy
University of Miami,physics,https://physics.as.miami.edu/,Hispanic,Man,Orlando Alvarez,Professor,https://people.miami.edu/profile/73a5bcea02b6916b16b7444bb0bc3137,https://academicphotos.s3.amazonaws.com/physics/University_of_Miami/Orlando_Alvarez.jpg,"theoretical physics (quantum field theory, string theory and physical mathematics)"
University of Minnesota,physics,https://www.physics.umn.edu/,Hispanic,Man,Rafael Fernandes,Distinguished Mcknight University Professor,https://cse.umn.edu/physics/rafael-fernandes,https://academicphotos.s3.amazonaws.com/physics/University_of_Minnesota/Rafael_Fernandes_.jpg,theoretical condensed matter physics
University of Mississippi,physics,https://physics.olemiss.edu/,Black,Woman,Cecille Labuda,Associate Professor,https://physics.olemiss.edu/labuda/,https://academicphotos.s3.amazonaws.com/physics/University_of_Mississippi/Cecille_Labuda.jpg,physical ultrasonics and biomedical applications of ultrasound
University of Nebraska-Lincoln,physics,https://www.unl.edu/physics/,Black,Man,Marcel Ngoko Djiokap,Associate Professor,https://unlcms.unl.edu/cas/physics/jngokodjiokap2/welcome-attosecond-strong-field-physics,https://academicphotos.s3.amazonaws.com/physics/University_of_Nebraska_Lincoln/Marcel-Ngoko-Djiokap.jpg,"theoretical atomic and molecular physics with a focus on intense laser interactions with atoms and molecules, attosecond physics, and ultrafast highly-correlated processes involving attosecond laser pulses and electron impact"
University of New Hampshire,physics,https://ceps.unh.edu/physics,Black,Woman,Chanda Prescod-Weinstein,Associate Professor,https://ceps.unh.edu/person/chanda-prescod-weinstein,https://academicphotos.s3.amazonaws.com/physics/University_of_New_Hampshire/Chanda_Prescod-Weinstein.jpg,"theoretical physics, black feminist science and society"
