database_name,database_name_cleaned,database_university,database_discipline,database_race,database_gender,matched,speaker_id,speaker_name,speaker_university,speaker_race,speaker_gender,confidence,reasoning
Robert J. Gilliard Jr.,Robert J Gilliard Jr,Massachusetts Institute of Technology,Chemistry,Black,Man,True,9226a465b7b3,"Robert J. Gilliard, Jr.",Massachusetts Institute of Technology,black,man,high,"The cleaned names 'Robert J Gilliard Jr' from the database and the potential speaker match exactly, including the middle initial and suffix. Additionally, both are affiliated with the Massachusetts Institute of Technology, which further supports the match. There are no discrepancies in the name or university that would suggest a different individual."
Kevin D. Walker,Kevin D Walker,Michigan State University,Chemistry,Black,Man,False,,,,,,,No match found
Colleen Scott,Colleen Scott,Mississippi State University,Chemistry,Black,Woman,True,1b0cc162b8bd,Colleen Scott,Mississippi State University,black,man,high,"The name 'Colleen Scott' from the database matches exactly with the name 'Colleen Scott' in the potential speakers list. Additionally, both are affiliated with Mississippi State University, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Virginia Montiel-Palma,Virginia Montiel-Palma,Mississippi State University,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Jennifer Dubois,Jennifer Dubois,Montana State University,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Edgardo Farinas,Edgardo Farinas,New Jersey Institute of Technology,Chemistry,Hispanic,Man,False,,,,,,,No match found
Omowunmi Sadik,Omowunmi Sadik,New Jersey Institute of Technology,Chemistry,Black,Woman,False,,,,,,,No match found
Sara Casado Zapico,Sara Casado Zapico,New Jersey Institute of Technology,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Alisha Jones,Alisha Jones,New York University,Chemistry,Black,Woman,True,444abb2dda1b,Alisha Jones,New York University,black,man,high,"The name 'Alisha Jones' from the database faculty matches exactly with the name 'Alisha Jones' in the potential speaker list. Additionally, both are affiliated with New York University, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Claudia Avalos,Claudia Avalos,New York University,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Marc Anton Walters,Marc Anton Walters,New York University,Chemistry,Black,Man,False,,,,,,,No match found
Stefano Sacanna,Stefano Sacanna,New York University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Tania Lupoli,Tania Lupoli,New York University,Chemistry,Hispanic,Woman,True,a66378247dc5,Tania Lupoli,New York University,white,woman,high,"The name 'Tania Lupoli' from the database faculty matches exactly with the name 'Tania Lupoli' in the potential speaker list. Additionally, both are affiliated with New York University, which further supports the match. There are no variations or misspellings to consider, making this a high-confidence match."
Elon Ison,Elon Ison,North Carolina State University,Chemistry,Black,Man,False,,,,,,,No match found
Phil Castellano,Phil Castellano,North Carolina State University,Chemistry,Hispanic,Man,True,03d4844a9a8c,Phil Castellano,North Carolina State University,latino,man,high,"The name 'Phil Castellano' from the database matches exactly with the name 'Phil Castellano' in the potential speaker list. Additionally, both are affiliated with North Carolina State University, which further confirms the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Damilola Daramola,Damilola Daramola,Northeastern University,Chemistry,Black,Man,True,769cb20d2087,Damilola Daramola,Northeastern University,black,man,high,"The full name 'Damilola Daramola' matches exactly between the database faculty and the potential speaker. Additionally, both are affiliated with Northeastern University, which further supports the match. There are no discrepancies in spelling or university affiliation, leading to a high confidence in this match."
Diego Alzate-Sanchez,Diego Alzate-Sanchez,Northeastern University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Thiago Monteiro Araujo Dos Santos,Thiago Monteiro Araujo Dos Santos,Northeastern University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Monica Olvera De La Cruz,Monica Olvera De La Cruz,Northwestern University,Chemistry,Hispanic,Woman,True,2215897e1839,Monica Olvera de la Cruz,Northwestern University,white,woman,high,"The name 'Monica Olvera De La Cruz' from the database matches 'Monica Olvera de la Cruz' from the potential speakers list, with only a minor difference in capitalization of 'de'. Both are affiliated with Northwestern University, which strongly supports the match. The discipline is also the same, further confirming the match."
Squire J. Booker,Squire J Booker,Pennsylvania State University,Chemistry,Black,Man,False,,,,,,,No match found
Gustavo Scuseria,Gustavo Scuseria,Rice University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Gene Hall,Gene Hall,Rutgers University-New Brunswick,Chemistry,Black,Man,False,,,,,,,No match found
Jean Rivera-Rios,Jean Rivera-Rios,Rutgers University-New Brunswick,Chemistry,Hispanic,Man,False,,,,,,,No match found
Laura M.K. Dassama,Laura MK Dassama,Stanford University,Chemistry,Black,Woman,False,,,,,,,No match found
Gerardo Gamez,Gerardo Gamez,Texas Tech University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Jorge A. Morales,Jorge A Morales,Texas Tech University,Chemistry,Hispanic,Man,False,,,,,,,No match found
Rabi Ann Musah,Rabi Ann Musah,"University at Albany, SUNY",Chemistry,Black,Woman,False,,,,,,,No match found
Luis R. De Jesus Baez,Luis R De Jesus Baez,University at Buffalo,Chemistry,Hispanic,Man,False,,,,,,,No match found
Elizabeth Duran,Elizabeth Duran,University of Alabama at Birmingham,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Katrina Miranda,Katrina Miranda,University of Arizona,Chemistry,Hispanic,Woman,True,09d10209e48c,Katrina Miranda,University of Arizona,latino,woman,high,"The name 'Katrina Miranda' from the database matches exactly with the name 'Katrina Miranda' in the potential speakers list. Additionally, both are affiliated with the University of Arizona, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Paul Adams,Paul Adams,University of Arkansas,Chemistry,Black,Man,False,,,,,,,No match found
Carlos J. Bustamante,Carlos J Bustamante,"University of California, Berkeley",Chemistry,Hispanic,Man,False,,,,,,,No match found
Richmond Sarpong,Richmond Sarpong,"University of California, Berkeley",Chemistry,Black,Man,True,4c6945c7ae9e,Richmond Sarpong,"University of California, Berkeley",black,man,high,"The name 'Richmond Sarpong' from the database faculty matches exactly with the name 'Richmond Sarpong' in the potential speaker list. Additionally, both are affiliated with the University of California, Berkeley, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Jose A. Rodriguez,Jose A Rodriguez,"University of California, Los Angeles",Chemistry,Hispanic,Man,False,,,,,,,No match found
Boniface P. T. Fokwa,Boniface P T Fokwa,"University of California, Riverside",Chemistry,Black,Man,False,,,,,,,No match found
Nadia G. Leonard,Nadia G Leonard,"University of California, Santa Barbara",Chemistry,Black,Woman,False,,,,,,,No match found
Candice Bridge,Candice Bridge,University of Central Florida,Chemistry,Black,Woman,True,d3170dcf9430,Candice Bridge,University of Central Florida,black,woman,high,"The name 'Candice Bridge' from the database faculty matches exactly with the name 'Candice Bridge' in the potential speaker list. Additionally, both are affiliated with the University of Central Florida, which further confirms the match. There are no variations or discrepancies in the name or university affiliation, leading to a high confidence in this match."
Karin Chumbimunitorres,Karin Chumbimunitorres,University of Central Florida,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Briana Simms,Briana Simms,University of Cincinnati,Chemistry,Black,Woman,True,6985d1f3c78a,Briana Simms,University of Cincinnati,black,man,high,"The name 'Briana Simms' from the database matches exactly with the name 'Briana Simms' in the potential speaker list. Additionally, both are affiliated with the University of Cincinnati, which further supports the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Noe T. Alvarez,Noe T Alvarez,University of Cincinnati,Chemistry,Hispanic,Man,False,,,,,,,No match found
Alfredo Angeles-Boza,Alfredo Angeles-Boza,University of Connecticut,Chemistry,Hispanic,Man,False,,,,,,,No match found
Emil Hernandez-Pagan,Emil Hernandez-Pagan,University of Delaware,Chemistry,Hispanic,Man,False,,,,,,,No match found
Jocelyn Alcantara-Garcia,Jocelyn Alcantara-Garcia,University of Delaware,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Sharon L. Neal,Sharon L Neal,University of Delaware,Chemistry,Black,Woman,False,,,,,,,No match found
Gregory H. Robinson,Gregory H Robinson,University of Georgia,Chemistry,Black,Man,False,,,,,,,No match found
Jeanluc Ayitou,Jeanluc Ayitou,University of Illinois Chicago,Chemistry,Black,Man,False,,,,,,,No match found
Joaquin Rodriguez-Lopez,Joaquin Rodriguez-Lopez,University of Illinois Urbana-Champaign,Chemistry,Hispanic,Man,True,0ef24b7ae76b,Joaquín Rodríguez-López,University of Illinois Urbana-Champaign,latino,man,high,"The cleaned names 'Joaquin Rodriguez-Lopez' from the database and 'Joaquin Rodriguez-Lopez' from the potential speaker match exactly, accounting for the accent in 'Joaquín'. Additionally, both are affiliated with the University of Illinois Urbana-Champaign, which further supports the match. The discipline is also the same, which increases the likelihood of a match."
Pere Miro,Pere Miro,University of Iowa,Chemistry,Hispanic,Man,False,,,,,,,No match found
Marcelo I. Guzman,Marcelo I Guzman,University of Kentucky,Chemistry,Hispanic,Man,False,,,,,,,No match found
Samuel G. Awuah,Samuel G Awuah,University of Kentucky,Chemistry,Black,Man,False,,,,,,,No match found
Aleeta M. Powe,Aleeta M Powe,University of Louisville,Chemistry,Black,Woman,False,,,,,,,No match found
Frederick A. Luzzio,Frederick A Luzzio,University of Louisville,Chemistry,Hispanic,Man,False,,,,,,,No match found
Tanei J. Ricks,Tanei J Ricks,University of Memphis,Chemistry,Black,Man,False,,,,,,,No match found
Christian Agatemor,Christian Agatemor,University of Miami,Chemistry,Black,Man,False,,,,,,,No match found
Stephen Maldonado,Stephen Maldonado,University of Michigan,Chemistry,Hispanic,Man,True,c40d5b197384,Stephen Maldonado,University of Michigan,latino,man,high,"The name 'Stephen Maldonado' from the database faculty matches exactly with the name 'Stephen Maldonado' in the potential speaker list. Additionally, both are affiliated with the University of Michigan, which further confirms the match. There are no discrepancies in the name or university affiliation, leading to a high confidence in this match."
Theodore Goodson III,Theodore Goodson III,University of Michigan,Chemistry,Black,Man,False,,,,,,,No match found
Edgar A. Arriaga,Edgar A Arriaga,University of Minnesota,Chemistry,Hispanic,Man,True,00f0c1537dd8,Edgar A. Arriaga,University of Minnesota,latino,man,high,"The name 'Edgar A. Arriaga' from the database matches exactly with the name 'Edgar A. Arriaga' in the potential speaker list. Both the cleaned names and the university affiliations (University of Minnesota) are identical, indicating a high confidence match."
Melissa Ramirez,Melissa Ramirez,University of Minnesota,Chemistry,Hispanic,Woman,False,,,,,,,No match found
Ernesto Abel-Santos,Ernesto Abel-Santos,"University of Nevada, Las Vegas",Chemistry,Hispanic,Man,False,,,,,,,No match found
Ana De Bettencourt-Dias,Ana De Bettencourt-Dias,"University of Nevada, Reno",Chemistry,Hispanic,Woman,False,,,,,,,No match found
Samuel Odoh,Samuel Odoh,"University of Nevada, Reno",Chemistry,Black,Man,False,,,,,,,No match found
Terefe G. Habteyes,Terefe G Habteyes,University of New Mexico,Chemistry,Black,Man,False,,,,,,,No match found
Sidney Wilkersonhill,Sidney Wilkersonhill,University of North Carolina at Chapel Hill,Chemistry,Black,Man,False,,,,,,,No match found
Daniel Afosah,Daniel Afosah,University of North Texas,Chemistry,Black,Man,False,,,,,,,No match found
Ignacio Franco,Ignacio Franco,University of Rochester,Chemistry,Hispanic,Man,True,528368223c37,Ignacio Franco,University of Rochester,latino,man,high,"The name 'Ignacio Franco' from the database matches exactly with the name 'Ignacio Franco' in the potential speaker list. Both are affiliated with the University of Rochester, which further supports the match. There are no variations or misspellings to consider, making this a high-confidence match."
Ampofo K. Darko,Ampofo K Darko,University of Tennessee,Chemistry,Black,Woman,False,,,,,,,No match found
Kayunta Johnson-Winters,Kayunta Johnson-Winters,University of Texas at Arlington,Chemistry,Black,Woman,False,,,,,,,No match found
Luisa Whittakerbrooks,Luisa Whittakerbrooks,University of Utah,Chemistry,Black,Woman,False,,,,,,,No match found
Samson A. Jenekhe,Samson A Jenekhe,University of Washington,Chemistry,Black,Man,False,,,,,,,No match found
Andrea Locke,Andrea Locke,Vanderbilt University,Chemistry,Black,Woman,False,,,,,,,No match found
Rena A. S. Robinson,Rena A S Robinson,Vanderbilt University,Chemistry,Black,Woman,False,,,,,,,No match found
Steven D. Townsend,Steven D Townsend,Vanderbilt University,Chemistry,Black,Man,True,f9066160d03c,Steven D. Townsend,Vanderbilt University,white,man,high,"The full name 'Steven D. Townsend' matches exactly with the cleaned name 'Steven D Townsend' in the database. Additionally, the university affiliation 'Vanderbilt University' is the same in both the database and the potential speaker list. These factors strongly indicate that this is the same individual."
Tobi Odeleye,Tobi Odeleye,West Virginia University,Chemistry,Black,Woman,False,,,,,,,No match found
Andrea Richa,Andrea Richa,Arizona State University,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Cheryl Seals,Cheryl Seals,Auburn University,Computer Science,Black,Woman,False,,,,,,,No match found
Gerry Dozier,Gerry Dozier,Auburn University,Computer Science,Black,Man,False,,,,,,,No match found
Jakita O. Thomas,Jakita O Thomas,Auburn University,Computer Science,Black,Woman,False,,,,,,,No match found
Mario Garciasanz,Mario Garciasanz,Case Western Reserve University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Carlos Toxtli-Hernandez,Carlos Toxtli-Hernandez,Clemson University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Gabe Fierro,Gabe Fierro,Colorado School of Mines,Computer Science,Hispanic,Man,False,,,,,,,No match found
Francisco Ortega,Francisco Ortega,Colorado State University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Brian A. Smith,Brian A Smith,Columbia University,Computer Science,Black,Man,False,,,,,,,No match found
Owolabi Legunsen,Owolabi Legunsen,Cornell University,Computer Science,Black,Man,False,,,,,,,No match found
Temiloluwa O. Prioleau,Temiloluwa O Prioleau,Dartmouth College,Computer Science,Black,Woman,False,,,,,,,No match found
Santiago Ontanon,Santiago Ontanon,Drexel University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Dorian Arnold,Dorian Arnold,Emory University,Computer Science,Black,Man,False,,,,,,,No match found
Yolanda Rankin,Yolanda Rankin,Emory University,Computer Science,Black,Woman,False,,,,,,,No match found
Leonardo Bobadilla,Leonardo Bobadilla,Florida International University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Brittany Johnson-Matthews,Brittany Johnson-Matthews,George Mason University,Computer Science,Black,Woman,False,,,,,,,No match found
Daniel Barbara,Daniel Barbara,George Mason University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Asohan Amarasingham,Asohan Amarasingham,"Graduate Center, CUNY",Computer Science,Black,Man,False,,,,,,,No match found
Candido Cabo,Candido Cabo,"Graduate Center, CUNY",Computer Science,Hispanic,Man,False,,,,,,,No match found
Oyewole Oyekoya,Oyewole Oyekoya,"Graduate Center, CUNY",Computer Science,Black,Man,False,,,,,,,No match found
Fernanda Viegas,Fernanda Viegas,Harvard University,Computer Science,Hispanic,Woman,False,,,,,,,No match found
James Mickens,James Mickens,Harvard University,Computer Science,Black,Woman,False,,,,,,,No match found
Harrison Prosper,Harrison Prosper,Indiana University Bloomington,Computer Science,Black,Man,False,,,,,,,No match found
Mayly Sanchez,Mayly Sanchez,Indiana University Bloomington,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Michael Carbin,Michael Carbin,Massachusetts Institute of Technology,Computer Science,Black,Man,False,,,,,,,No match found
Vincent Oria,Vincent Oria,New Jersey Institute of Technology,Computer Science,Black,Man,False,,,,,,,No match found
Kemafor Anyanwu Ogan,Kemafor Anyanwu Ogan,North Carolina State University,Computer Science,Black,Woman,False,,,,,,,No match found
Ricardo Baezayates,Ricardo Baezayates,Northeastern University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Saiph Savage,Saiph Savage,Northeastern University,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Russell Joseph,Russell Joseph,Northwestern University,Computer Science,Black,Man,False,,,,,,,No match found
Christopher Stewart,Christopher Stewart,Ohio State University,Computer Science,Black,Man,False,,,,,,,No match found
Donald Williamson,Donald Williamson,Ohio State University,Computer Science,Black,Man,False,,,,,,,No match found
Donald Ebeigbe,Donald Ebeigbe,Pennsylvania State University,Computer Science,Black,Man,False,,,,,,,No match found
Adji Bousso Dieng,Adji Bousso Dieng,Princeton University,Computer Science,Black,Woman,False,,,,,,,No match found
Andres Monroy Hernandez,Andres Monroy Hernandez,Princeton University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Gustavo Adolfo Junipero Rodriguez-Rivera,Gustavo Adolfo Junipero Rodriguez-Rivera,Purdue University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Alex Gittens,Alex Gittens,Rensselaer Polytechnic Institute,Computer Science,Black,Man,False,,,,,,,No match found
Carlos Varela,Carlos Varela,Rensselaer Polytechnic Institute,Computer Science,Hispanic,Man,False,,,,,,,No match found
Vicente Ordonez Roman,Vicente Ordonez Roman,Rice University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Kunle Olukotun,Kunle Olukotun,Stanford University,Computer Science,Black,Man,False,,,,,,,No match found
Karl Morris,Karl Morris,Temple University,Computer Science,Black,Man,False,,,,,,,No match found
Daniel A. Jimenez,Daniel A Jimenez,Texas A&M University,Computer Science,Hispanic,Man,False,,,,,,,No match found
Dilma Da Silva,Dilma Da Silva,Texas A&M University,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Uma Maheswari Chinta,Uma Maheswari Chinta,Texas Tech University,Computer Science,Native American,Woman,False,,,,,,,No match found
Abdul Serwadda,Abdul Serwadda,Texas Tech University,Computer Science,Black,Man,False,,,,,,,No match found
Chinwe Ekenna,Chinwe Ekenna,"University at Albany, SUNY",Computer Science,Black,Woman,False,,,,,,,No match found
Ifeoma Nwogu,Ifeoma Nwogu,University at Buffalo,Computer Science,Black,Woman,False,,,,,,,No match found
Chris S. Crawford,Chris S Crawford,University of Alabama,Computer Science,Black,Man,False,,,,,,,No match found
Monica Anderson,Monica Anderson,University of Alabama,Computer Science,Black,Woman,False,,,,,,,No match found
Vineetha Menon,Vineetha Menon,University of Alabama in Huntsville,Computer Science,Black,Woman,False,,,,,,,No match found
Jason Pacheco,Jason Pacheco,University of Arizona,Computer Science,Hispanic,Man,False,,,,,,,No match found
Anthony D. Joseph,Anthony D Joseph,"University of California, Berkeley",Computer Science,Black,Man,False,,,,,,,No match found
Alexander Gamero-Garrido,Alexander Gamero-Garrido,"University of California, Davis",Computer Science,Hispanic,Man,False,,,,,,,No match found
Cindy Rubio Gonzalez,Cindy Rubio Gonzalez,"University of California, Davis",Computer Science,Hispanic,Woman,False,,,,,,,No match found
Blaisepascal Tine,Blaisepascal Tine,"University of California, Los Angeles",Computer Science,Black,Man,False,,,,,,,No match found
Saadia Gabriel,Saadia Gabriel,"University of California, Los Angeles",Computer Science,Black,Woman,True,b0654392ac85,Saadia Gabriel,"University of California, Los Angeles",black,man,high,"The name 'Saadia Gabriel' matches exactly with the cleaned name in the database. Additionally, the university affiliation 'University of California, Los Angeles' is the same for both the database faculty and the potential speaker. There are no discrepancies in the name or university, leading to a high confidence match."
Imani Munyaka,Imani Munyaka,"University of California, San Diego",Computer Science,Black,Woman,False,,,,,,,No match found
Ndapa Nakashole,Ndapa Nakashole,"University of California, San Diego",Computer Science,Black,Woman,False,,,,,,,No match found
Carolina Cruzneira,Carolina Cruzneira,University of Central Florida,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Raul Castro Fernandez,Raul Castro Fernandez,University of Chicago,Computer Science,Hispanic,Man,True,7b4dec9ef908,Raul Castro Fernandez,University of Chicago,latino,man,high,"The full name 'Raul Castro Fernandez' matches exactly with the name in the database, and the university affiliation 'University of Chicago' is also the same. There are no variations or misspellings to consider, making this a high-confidence match."
James Curry,James Curry,University of Colorado Boulder,Computer Science,Black,Man,False,,,,,,,No match found
Christan Grant,Christan Grant,University of Florida,Computer Science,Black,Man,False,,,,,,,No match found
Christina Gardner-McCune,Christina Gardner-McCune,University of Florida,Computer Science,Black,Woman,False,,,,,,,No match found
Emmanuel J. Dorley,Emmanuel J Dorley,University of Florida,Computer Science,Black,Man,False,,,,,,,No match found
Juan E. Gilbert,Juan E Gilbert,University of Florida,Computer Science,Black,Man,False,,,,,,,No match found
Kevin R. B. Butler,Kevin R B Butler,University of Florida,Computer Science,Black,Man,False,,,,,,,No match found
Kyla Mcmullen,Kyla Mcmullen,University of Florida,Computer Science,Black,Man,False,,,,,,,No match found
Thamar Solorio,Thamar Solorio,University of Houston,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Dmitri Perkins,Dmitri Perkins,"University of Maryland, Baltimore County",Computer Science,Black,Woman,False,,,,,,,No match found
Pablo Paredes,Pablo Paredes,"University of Maryland, College Park",Computer Science,Hispanic,Man,False,,,,,,,No match found
Juan Jimenez,Juan Jimenez,University of Massachusetts Amherst,Computer Science,Hispanic,Man,False,,,,,,,No match found
Shannon Roberts,Shannon Roberts,University of Massachusetts Amherst,Computer Science,Black,Woman,False,,,,,,,No match found
Vanessa Aguiarpulido,Vanessa Aguiarpulido,University of Miami,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Lydia Tapia,Lydia Tapia,University of New Mexico,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Trilce Estrada,Trilce Estrada,University of New Mexico,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Diego Gomez-Zara,Diego Gomez-Zara,University of Notre Dame,Computer Science,Hispanic,Man,False,,,,,,,No match found
Karla Badillourquiola,Karla Badillourquiola,University of Notre Dame,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Alejandro Ribeiro,Alejandro Ribeiro,University of Pennsylvania,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Kevin B. Johnson,Kevin B Johnson,University of Pennsylvania,Computer Science,Black,Man,False,,,,,,,No match found
Gonzalo Mateos,Gonzalo Mateos,University of Rochester,Computer Science,Hispanic,Man,False,,,,,,,No match found
John Murraybruce,John Murraybruce,University of South Florida,Computer Science,Black,Man,False,,,,,,,No match found
Tempestt Neal,Tempestt Neal,University of South Florida,Computer Science,Black,Woman,False,,,,,,,No match found
Habeeb Olufowobi,Habeeb Olufowobi,University of Texas at Arlington,Computer Science,Black,Man,False,,,,,,,No match found
Natalia Villanueva-Rosales,Natalia Villanueva-Rosales,University of Texas at El Paso,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Amanda Fernandez,Amanda Fernandez,University of Texas at San Antonio,Computer Science,Hispanic,Woman,False,,,,,,,No match found
Leilani Battle,Leilani Battle,University of Washington,Computer Science,Black,Woman,False,,,,,,,No match found
Charles Lee Isbell Jr.,Charles Lee Isbell Jr,University of Wisconsin-Madison,Computer Science,Black,Man,False,,,,,,,No match found
Chris Brown,Chris Brown,Virginia Tech,Computer Science,Black,Woman,False,,,,,,,No match found
