database_name,database_university,database_race,database_gender,database_title,database_discipline,database_research,matched,num_matches,speaker_name,speaker_university,speaker_race_identified,seminar_university,seminar_discipline,seminar_condition,seminar_date,semester
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Match Detail,,Vidal Lopez,UCR,latino,"University of California, Riverside",Chemistry,treatment,5/15/2025,Spring
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Match Detail,,Vidal Lopez,,white,"University of California, Riverside",Chemistry,treatment,5/15/2025,Spring
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Match Detail,,Vidal Lopez,,latino,"University of California, Riverside",Chemistry,treatment,5/15/2025,Spring
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Match Detail,,Erick Lopez,University of Georgia,latino,University of Georgia,Chemistry,control,10/8/2024,Fall
Victor Garcia Lopez,Louisiana State University,Hispanic,Man,Assistant Professor,Chemistry,"artificial molecular machines, chemical probes for lipids and membranes, supramolecular photochemistry",Match Detail,,Erick Lopez,University of Georgia,latino,University of Georgia,Chemistry,control,2025-02-27,Fall
Zakiya Wilson-Kennedy,Louisiana State University,Black,Woman,Associate Professor,Chemistry,chemistry education,No,0,,,,,,,,
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Yes,12,,,,,,,,
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Jeremiah Johnson,Massachusetts Institute of Technology,white,Princeton University,Chemistry,treatment,3/4/2025,Fall
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Jeremiah A. Johnson,Massachusetts Institute of Technology,white,Rutgers University-New Brunswick,Chemistry,treatment,2025-03-05,Spring
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Steven Johnson,Indiana University,white,University of Arizona,Chemistry,control,2024-10-24 00:00:00,Spring
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Michael Johnson,University of Kansas,black,University of Arkansas,Chemistry,treatment,2025-03-17,Fall
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Mark Johnson,Yale University,white,"University of California, Berkeley",Chemistry,treatment,1/21/2025,Spring
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Johnathan Johnson,University of Florida,black,University of Florida,Chemistry,control,2/10/2025,Spring
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Heather Johnson,ORG: Amgen,white,University of Illinois Urbana-Champaign,Chemistry,control,3/3/2025,Fall
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Justin Johnson,,white,University of North Texas,Chemistry,control,2/27/2025,Fall
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Darren Johnson,University of Oregon,black,University of Notre Dame,Chemistry,treatment,11/20/2024 0:00,Fall
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Jeremiah Johnson,Massachusetts Institute of Technology,white,University of Southern California,Chemistry,control,11/13/2024 0:00,Fall
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Jeremiah Johnson,Massachusetts Institute of Technology,white,University of Southern California,Chemistry,control,1/15/2025,Fall
Oleta Johnson,Massachusetts Institute of Technology,Black,Woman,Assistant Professor,Chemistry,"chemical biology, physical",Match Detail,,Mark Johnson,Yale University,white,University of Southern California,Chemistry,control,4/24/2025,Fall
Robert J. Gilliard Jr.,Massachusetts Institute of Technology,Black,Man,Professor,Chemistry,"energy & sustainability, inorganic, materials & nanoscience, organic",Yes,2,,,,,,,,
Robert J. Gilliard Jr.,Massachusetts Institute of Technology,Black,Man,Professor,Chemistry,"energy & sustainability, inorganic, materials & nanoscience, organic",Match Detail,,"Kenneth M. Merz, Jr.",ORG: Cleveland Clinic,white,Case Western Reserve University,Chemistry,control,9/26/2024,Fall
Robert J. Gilliard Jr.,Massachusetts Institute of Technology,Black,Man,Professor,Chemistry,"energy & sustainability, inorganic, materials & nanoscience, organic",Match Detail,,"Robert J. Gilliard, Jr.",Massachusetts Institute of Technology,black,University of Tennessee,Chemistry,control,4/3/2025,Spring
Kevin D. Walker,Michigan State University,Black,Man,Associate Professor,Chemistry,"organic, biological",Yes,6,,,,,,,,
Kevin D. Walker,Michigan State University,Black,Man,Associate Professor,Chemistry,"organic, biological",Match Detail,,Suzanne Walker,Harvard University,white,Boston University,Chemistry,treatment,11/18/2024,Fall
Kevin D. Walker,Michigan State University,Black,Man,Associate Professor,Chemistry,"organic, biological",Match Detail,,Alice Walker,Wayne State University,black,Georgia State University,Chemistry,control,1/17/2025,Fall
Kevin D. Walker,Michigan State University,Black,Man,Associate Professor,Chemistry,"organic, biological",Match Detail,,Alice Walker,Wayne State University,black,North Carolina State University,Chemistry,control,4/10/2025,Fall
Kevin D. Walker,Michigan State University,Black,Man,Associate Professor,Chemistry,"organic, biological",Match Detail,,Alice Walker,Wayne State University,black,Texas Tech University,Chemistry,treatment,1/29/2025,Fall
Kevin D. Walker,Michigan State University,Black,Man,Associate Professor,Chemistry,"organic, biological",Match Detail,,Walker Jones,University of Georgia,white,University of Georgia,Chemistry,control,10/11/2024,Fall
Kevin D. Walker,Michigan State University,Black,Man,Associate Professor,Chemistry,"organic, biological",Match Detail,,Alice Walker,Wayne State University,black,University of North Carolina at Chapel Hill,Chemistry,control,4/9/2025,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Yes,12,,,,,,,,
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott Cushing,California Institute of Technology,white,Colorado State University,Chemistry,treatment,2025-01-30,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott Snyder,Indiana University Bloomington,,Louisiana State University,Chemistry,treatment,3/14/2025,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Colleen Scott,Mississippi State University,black,Ohio State University,Chemistry,treatment,11/6/2024 0:00,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott K. Cushing,California Institute of Technology,white,University of Chicago,Chemistry,treatment,2025-03-04,Spring
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott Reed,University of Colorado Denver,white,University of Colorado Denver,Chemistry,treatment,3/21/2025,Spring
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott France,ORG: Merck,white,University of Illinois Urbana-Champaign,Chemistry,control,9/16/2024 0:00,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott Shaw,University of Iowa,white,University of Kentucky,Chemistry,treatment,2/28/2025,Spring
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Colleen Scott,Mississippi State University,black,University of Memphis,Chemistry,treatment,2/21/2025,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Peter Scott,University of Michigan,white,University of Missouri,Chemistry,treatment,10/21/2024 0:00,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Makaia Papasergi-Scott,University of Rochester,white,University of Montana,Chemistry,treatment,3/7/2025,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott McLuckey,Purdue University,white,University of Nebraska-Lincoln,Chemistry,treatment,9/27/2024 0:00,Fall
Colleen Scott,Mississippi State University,Black,Woman,Associate Professor,Chemistry,"materials/polymer, organic",Match Detail,,Scott Miller,Yale University,white,University of New Hampshire,Chemistry,treatment,2024-09-24 00:00:00,Spring
Virginia Montiel-Palma,Mississippi State University,Hispanic,Woman,Associate Professor,Chemistry,"analytical
inorganic
organometallic",No,0,,,,,,,,
Jennifer Dubois,Montana State University,Hispanic,Woman,Professor,Chemistry,complex enzymes with applications to health and the environment,Yes,1,,,,,,,,
Jennifer Dubois,Montana State University,Hispanic,Woman,Professor,Chemistry,complex enzymes with applications to health and the environment,Match Detail,,Jen DuBois,Michigan State University,white,Montana State University,Chemistry,treatment,9/20/2024 0:00,Fall
Edgardo Farinas,New Jersey Institute of Technology,Hispanic,Man,Associate Professor,Chemistry,"protein engineering, directed evolution",No,0,,,,,,,,
Omowunmi Sadik,New Jersey Institute of Technology,Black,Woman,Professor,Chemistry,"biosensors, surface chemistry, electrochemistry, and nanostructured conducting polymers",Yes,1,,,,,,,,
Omowunmi Sadik,New Jersey Institute of Technology,Black,Woman,Professor,Chemistry,"biosensors, surface chemistry, electrochemistry, and nanostructured conducting polymers",Match Detail,,Anjam Sadik,University of Kentucky,asian,University of Kentucky,Chemistry,treatment,4/30/2025,Spring
Sara Casado Zapico,New Jersey Institute of Technology,Hispanic,Woman,Assistant Professor,Chemistry,"epigenetics to improve age-at-death estimation in forensic anthropology, post-mortem interval determinations based on -omics technologies",No,0,,,,,,,,
Alisha Jones,New York University,Black,Woman,Assistant Professor,Chemistry,structural dynamics and protein binding of lncrnas and their influence on conformational changes to regulate gene expression,Yes,6,,,,,,,,
Alisha Jones,New York University,Black,Woman,Assistant Professor,Chemistry,structural dynamics and protein binding of lncrnas and their influence on conformational changes to regulate gene expression,Match Detail,,Bill Jones,University of Rochester,white,Iowa State University,Chemistry,control,9/13/2024 0:00,Fall
Alisha Jones,New York University,Black,Woman,Assistant Professor,Chemistry,structural dynamics and protein binding of lncrnas and their influence on conformational changes to regulate gene expression,Match Detail,,Christen Jones,,black,Louisiana State University,Chemistry,treatment,3/14/2025,Fall
Alisha Jones,New York University,Black,Woman,Assistant Professor,Chemistry,structural dynamics and protein binding of lncrnas and their influence on conformational changes to regulate gene expression,Match Detail,,Alisha Jones,New York University,black,Rutgers University-New Brunswick,Chemistry,treatment,3/28/2025,Spring
Alisha Jones,New York University,Black,Woman,Assistant Professor,Chemistry,structural dynamics and protein binding of lncrnas and their influence on conformational changes to regulate gene expression,Match Detail,,Walker Jones,University of Georgia,white,University of Georgia,Chemistry,control,10/11/2024,Fall
Alisha Jones,New York University,Black,Woman,Assistant Professor,Chemistry,structural dynamics and protein binding of lncrnas and their influence on conformational changes to regulate gene expression,Match Detail,,Lyn Jones,INVALID,white,University of Illinois Chicago,Chemistry,treatment,2025-03-11,Fall
Alisha Jones,New York University,Black,Woman,Assistant Professor,Chemistry,structural dynamics and protein binding of lncrnas and their influence on conformational changes to regulate gene expression,Match Detail,,Sarina Jones,University of North Carolina at Chapel Hill,black,University of North Carolina at Chapel Hill,Chemistry,control,4/16/2025,Fall
Claudia Avalos,New York University,Hispanic,Woman,Assistant Professor,Chemistry,"solid-state nuclear magnetic resonance, electron paramagnetic resonance",No,0,,,,,,,,
Marc Anton Walters,New York University,Black,Man,Professor,Chemistry,bioinorganic chemistry; study of redox potentials in electron transfer proteins,Yes,1,,,,,,,,
Marc Anton Walters,New York University,Black,Man,Professor,Chemistry,bioinorganic chemistry; study of redox potentials in electron transfer proteins,Match Detail,,Pat Walters,,white,University of Florida,Chemistry,control,2/18/2025,Spring
Stefano Sacanna,New York University,Hispanic,Man,Professor,Chemistry,"colloidal chemistry, material science",No,0,,,,,,,,
Tania Lupoli,New York University,Hispanic,Woman,Assistant Professor,Chemistry,chemical biology and infectious disease,Yes,3,,,,,,,,
Tania Lupoli,New York University,Hispanic,Woman,Assistant Professor,Chemistry,chemical biology and infectious disease,Match Detail,,Tania Lupoli,New York University,white,Emory University,Chemistry,control,2025-02-04,Fall
Tania Lupoli,New York University,Hispanic,Woman,Assistant Professor,Chemistry,chemical biology and infectious disease,Match Detail,,Tania Lupoli,New York University,white,New York University,Chemistry,control,9/30/2024 0:00,Fall
Tania Lupoli,New York University,Hispanic,Woman,Assistant Professor,Chemistry,chemical biology and infectious disease,Match Detail,,Tania Lupoli,New York University,white,University at Buffalo,Chemistry,control,3/7/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Yes,18,,,,,,,,
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Glenn Morrison,University of North Carolina at Chapel Hill,white,Colorado State University,Chemistry,treatment,11/13/2024 0:00,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Allison Dombroski,Florida State University,white,Florida State University,Chemistry,control,11/12/2024,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Harrison Worster,North Carolina State University,white,North Carolina State University,Chemistry,control,4/3/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Alison Fout,Texas A&M University,white,Princeton University,Chemistry,treatment,2/20/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Alison Fout,Texas A&M University,white,Princeton University,Chemistry,treatment,2025-02-20,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Alison Butler,"University of California, Santa Barbara",white,Rice University,Chemistry,treatment,2024-09-02,Spring
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Tom Allison,Stony Brook University,white,Stony Brook University,Chemistry,control,4/14/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Alison Frontier,University of Rochester,white,University of Chicago,Chemistry,treatment,5/19/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Alison Frontier,University of Rochester,white,University of Chicago,Chemistry,treatment,5/19/2025,Spring
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Allison Squires,University of Chicago,white,University of Chicago,Chemistry,treatment,2024-12-10 00:00:00,Spring
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Madison Rutherford,INVALID,white,University of Colorado Boulder,Chemistry,treatment,3/31/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Allison Aiken,ORG: Los Alamos National Laboratory,white,University of Colorado Boulder,Chemistry,treatment,4/28/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Alison Fout,Texas A&M University,white,University of Kansas,Chemistry,control,1/31/2025,Fall
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Allison Fisher,Harvard University,white,University of New Hampshire,Chemistry,treatment,4/15/2025,Spring
Elon Ison,North Carolina State University,Black,Man,Professor,Chemistry,"catalysis, inorganic/organometallic, synthesis and organometallic mechanisms",Match Detail,,Allison Stelling,University of Texas at Dallas,white,University of Notre Dame,Chemistry,treatment,9/26/2024 0:00,Fall
